Tempo	Controle	Problema Motor
9,98	2,10113464	-4,6787466
10	2,431925355	-4,8223021
10,02	2,2450898	-5,02738203
10,04	1,51918772	-5,00101437
10,06	1,17001966	-4,8428105
10,08	0,728965036	-4,3652675
10,1	0,704462055	-4,11917209
10,12	1,02606427	-3,41604164
10,14	1,65701729	-2,3291191
10,16	1,822412705	-1,73731789
10,18	1,372169535	-0,553715184
10,2	1,038315795	0,58594195
10,22	1,0781332225	1,09571143
10,24	1,24659149	1,53223829
10,26	1,053630184	1,35645565
10,28	0,309350713	0,870123815
10,3	-0,1807098155	0,93750712
10,32	-0,199087103	1,08985206
10,34	0,1347666531	1,3447368
10,36	0,4379916105	1,35352602
10,38	0,952555235	1,13672735
10,4	0,96174385	0,93457749
10,42	0,80247414	0,85547528
10,44	0,40123707	0,697270904
10,46	0,2144014805	0,65039557
10,48	-0,06738332655	0,6445362
10,5	-0,153143913	0,71191945
10,52	-0,082697719	0,76758396
10,54	0,22359013	0,88477235
10,56	0,388985545	0,92871801
10,58	0,572758259	0,952155666
10,6	0,591135535	0,96973393
10,62	0,591135535	0,98145278
10,64	0,58500983	0,99024189
10,66	0,575821169	0,975593355
10,68	0,575821169	0,914069475
10,7	0,566632485	0,85547528
10,72	0,5298779675	0,83203758
10,74	0,450243124	0,785162246
10,76	0,434928735	0,773443396
10,78	0,4226772445	0,77930281
10,8	0,3032249505	0,796881096
10,82	0,1194522595	0,796881096
10,84	-0,3552939145	0,796881096
10,86	-0,162332551	0,80567025
10,88	0,098012108	0,81738899
10,9	0,2052128655	0,85254554
10,92	0,1072007414	0,87598324
10,94	0,174584076	0,925788325
10,96	0,744279425	0,98145278
10,98	1,1424536425	1,01367959
11	2,2940959	1,08692232
11,02	3,08125572	1,14258672
11,04	4,229835125	1,29786151
11,06	3,75508902	1,50001137
11,08	3,21295947	1,63184835
11,1	2,6065095	1,9423976
11,12	2,54218908	2,11232087
11,14	2,389045075	2,40529168
11,16	2,11951187	2,55763673
11,18	2,05212854	2,6103715
11,2	2,21139825	2,7041223
11,22	2,346165025	2,71584115
11,24	2,44723979	2,48146415
11,26	2,235901185	2,09767228
11,28	1,97861939	1,94532723
11,3	1,154705225	1,30958036
11,32	0,5941983875	0,84375643
11,34	-0,728965036	-0,0439456457
11,36	-1,80403536	-0,8964912
11,38	-2,02762549	-1,31836947
11,4	-1,7182748	-1,92188964
11,42	-0,69527344	-2,15333668
11,44	-0,404299957	-2,73341937
11,46	-0,67077039	-3,33986906
11,48	-0,8974233725	-3,6094025
11,5	-0,66770748	-4,08401554
11,52	0,220527243	-4,4502293
11,54	0,4379916105	-4,59671476
11,56	0,196024216	-4,76077855
11,58	-0,0367545428	-4,78714566
11,6	-0,462494649	-4,79007573
11,62	-0,722839285	-4,64359016
11,64	-0,722839285	-4,49417507
11,66	-0,523752205	-4,1133125
11,68	-0,3981741945	-3,88186546
11,7	-0,275659071	-3,20510267
11,72	-0,346105265	-2,1709149
11,74	-0,413488595	-1,5879028
11,76	-0,539066617	-0,471683267
11,78	-0,560506734	0,0351565192
11,8	-0,51150068	0,94922597
11,82	-0,51150068	1,29786151
11,84	-0,560506734	1,13086787
11,86	-0,69527344	0,878912947
11,88	-0,7749082375	0,97266367
11,9	-0,91273775	1,29493177
11,92	-0,8239143145	1,39747157
11,94	-0,6432044645	1,32715858
11,96	-0,1378295355	1,051765847
11,98	0,1378295355	0,8964912
12	0,1500810375	0,64160646
12,02	0,2113386165	0,498050663
12,04	0,413488595	0,498050663
12,06	1,32010064	0,568363675
12,08	2,25427853	0,60937965
12,1	2,456428405	0,71484919
12,12	2,35229073	0,85547528
