Tempo	C1	C2	C3	C4	C5
3,48	3,3691665	-5,5158443	1,1399235	0,63121927	0,8602693
3,5	3,880667065	-5,3347354	1,6033503	0,5806152	0,43412971
3,52	3,21602238	-5,262824	1,9868759	0,54599136	0,18110934
3,54	2,0796945	-4,9485464	1,9629055	0,4767437	-0,037287217
3,56	0,53600373	-4,4984365	1,6166672	0,42081288	0,14115874
3,58	0,71671358	-4,234762	1,3476665	0,39151576	0,772378
3,6	0,71671358	-3,4277604	1,1319333	0,33292156	1,0360519
3,62	0,159269676	-2,7832243	0,42880297	0,3009611	0,9694676
3,64	-0,266470422	-1,0813292	0,26367387	0,25568378	0,6285559
3,66	-0,94642945	0,42880297	0,4953873	0,28764424	0,4447832
3,68	-0,502312065	0,9028833	0,5406646	0,3196047	0,1464855
3,7	0,11945226	1,3689735	0,41015938	0,36221868	0,026633725
3,72	1,24659149	1,4701817	0,22105992	0,3781989	0,055930823
3,74	1,49162176	1,1692206	0,19176282	0,45010996	0,22905004
3,76	1,206774005	-0,23171341	0,22372329	0,543328	0,4181495
3,78	0,44411735	-0,53533787	0,21040644	0,564635	0,5060408
3,8	0,147018174	0,045277335	0,16779247	0,52734774	0,71644723
3,82	-0,088823482	1,1212798	0,11452502	0,48739716	0,8336356
3,84	0,033691664	1,5048054	0,14914887	0,41548613	0,9907746
3,86	0,177646952	1,7578259	0,3302582	0,36488205	1,0174084
3,88	0,526815092	1,8776777	0,41282275	0,3595553	1,0546955
3,9	0,71671358	2,0135098	0,3781989	0,40216926	1,273092
3,92	1,11488774	1,6779248	0,29829773	0,44211984	1,3902805
3,94	1,378295355	1,4914886	0,28764424	0,48739716	1,5820433
3,96	1,41198702	1,3023891	0,2903076	0,52734774	1,901648
3,98	1,38135815	1,1745473	0,25568378	0,59925884	2,0241632
4	1,424238545	0,93750715	0,2530204	0,836299	2,1892922
4,02	1,690708955	0,793685	0,31427795	0,99343795	2,2958272
4,04	1,908173265	0,7111205	0,35422856	1,3689735	2,343768
4,06	2,033751195	0,62056583	0,36488205	1,6832515	2,1040642
4,08	2,389045075	0,6232292	0,37020877	1,7977765	1,901648
4,1	2,48399425	0,6471995	0,38352564	1,9309452	0,9614775
4,12	2,477868545	0,63388264	0,4181495	1,9336084	0,24769364
4,14	2,431925355	0,6045856	0,4554367	1,8403904	-1,0493687
4,16	2,35535341	0,54599136	0,5193576	1,6619445	-2,415679
4,18	2,16545506	0,543328	0,47408032	1,566063	-3,1294627
4,2	2,012311055	0,5539815	0,44744658	1,4355578	-4,1229005
4,22	1,130202118	0,55930823	0,46076345	1,4115875	-4,2241087
4,24	-0,211338617	0,54599136	0,4767437	1,3503299	-3,7180681
4,26	-0,82697719	0,5326745	0,51669425	1,0387152	-2,895086
4,28	-2,235901185	0,6045856	0,6658431	0,8336356	-2,8844326
4,3	-3,70302001	0,6711699	0,7377542	0,42081288	-3,8991773
4,32	-4,22064651	0,8043385	0,71644723	0,17844597	-4,234762
4,34	-4,582066095	0,836299	0,6498629	-0,31694132	-3,8938506
4,36	-4,4227965	0,81232864	0,6045856	-0,793685	-2,8604622
4,38	-3,35997777	0,76971465	0,6392094	-1,0174084	-2,381055
4,4	-2,4594912	0,7643879	0,64187276	-1,4302311	-1,5607363
4,42	-2,689207265	0,7750414	0,6258925	-1,7817962	-0,8735862
4,44	-4,211457895	0,7883583	0,6125757	-1,9655689	-0,4847338
4,46	-4,922046	0,8336356	0,5513181	-2,3357778	0,8256455
4,48	-5,4182319	0,9348438	0,41548613	-2,4716098	1,3183694
4,5	-5,02005797	1,014745	0,292971	-2,6207585	1,0919827
4,52	-4,698455755	1,2091712	-0,07457443	-2,6713626	0,18377271
4,54	-3,58356767	1,2917356	-0,3009611	-2,6633725	-0,02130698
4,56	-2,51462312	1,3849537	-0,585942	-2,567491	0,05326745
4,58	0,183772703	1,4328945	-0,7963484	-2,4902534	0,10387153
4,6	1,04750441	1,4675183	-0,9002199	-2,309144	-0,07723781
4,62	0,58194692	1,5713898	-0,8256455	-2,0428069	-0,29563436
4,64	0,0428803	1,6353108	-0,6818234	-1,8723509	-0,23171341
4,66	0,44718026	1,765816	-0,37020877	-1,4834985	-0,005326745
4,68	1,332352165	1,8723509	-0,12784189	-1,2917356	0,045277335
4,7	0,80247414	1,9149649	-0,018643608	-0,9401705	0,034623843
4,72	0,266470422	1,9975294	0,18643607	-0,46342683	-0,047940705
4,74	-0,24503027	2,0907474	0,27699074	-0,05326745	-0,07457443
4,76	-0,147018174	2,1440148	0,41548613	0,700467	-0,07457443
4,78	0,272596184	2,245223	0,50337744	0,69514024	-0,07990117
4,8	0,471683287	2,2718568	0,5140309	0,2530204	-0,12784189
4,82	0,425740086	2,3251243	0,47141695	0,22905004	-0,1065349
4,84	0,159269676	2,3783917	0,45010996	0,35156518	-0,058594197
4,86	-0,012251514	2,3704016	0,41548613	0,42081288	0,034623843
4,88	-0,367545405	2,2345695	0,38352564	0,38086227	0,06658431
4,9	-0,58500983	2,0587869	0,3781989	0,35689193	0,15980235
4,92	-0,603387026	1,2970624	0,40483263	0,34623843	0,26367387
4,94	-0,493123416	0,292971	0,43945646	0,36488205	0,2610105
4,96	-0,303224951	0	0,51669425	0,4181495	0,16246572
4,98	-0,22359013	-0,07723781	0,5832786	0,4261396	0,42880297
5	-0,180709816	-0,069247685	0,62056583	0,42880297	0,73509085
5,02	-0,217464368	-0,407496	0,69514024	0,40483263	1,2331415
5,04	-0,303224951	-0,9747943	0,7377542	0,36488205	1,3769636
5,06	-0,327727989	-1,1692206	0,8389624	0,25568378	1,5953602
5,08	-0,327727989	-1,5687264	1,0014281	0,21040644	1,6566178
5,1	-0,306287838	-1,880341	1,1132897	0,15713897	1,6060137
5,12	-0,260344671	-2,5967882	1,379627	0,14115874	1,3343496
5,14	-0,030628784	-3,017601	1,5101322	0,13316862	1,1266066
5,16	0,186835578	-3,1267993	1,7551625	0,09588141	0,6871501
5,18	0,211338617	-3,4623842	1,9309452	0,07191106	0,25035703
5,2	0,159269676	-4,0057125	1,9815491	0,04261396	-0,039950587
5,22	0,1562068	-4,237426	2,0161731	0,01065349	-0,6392094
5,24	0,33385374	-4,5357237	2,008183	-0,005326745	-0,9215269
5,26	0,71671358	-4,6502485	1,994866	-0,026633725	-1,8164201
5,28	0,931115049	-4,783417	1,973559	-0,026633725	-2,9536803
5,3	1,304786205	-4,666229	1,9069748	0	-3,3398693
5,32	1,418112725	-4,578337	1,6619445	0,06658431	-3,6861076
5,34	1,49468467	-4,4931097	1,4275677	0,1065349	-3,6434937
5,36	1,577382435	-4,469139	0,7430809	0,16246572	-2,7033231
5,38	1,67539452	-4,31999	0,16779247	0,18909945	-1,7205386
5,4	1,6110741	-3,989732	-0,13316862	0,25568378	-1,7844596
5,42	1,21902553	-3,781989	-0,80167514	0,33558494	-2,6287487
