Tempo	DP1	DP2	DP3	DP4	DP5
6,54	0,413089072	-1,6832515	1,5740532	0,1944262	0,26900062
6,56	0,401370255	-1,7471724	1,6539544	0,22105992	0,3382483
6,58	0,421878204	-1,5793799	1,7631526	0,33292156	0,3489018
6,6	0,43652675	-1,0493687	1,7977765	0,407496	0,34357506
6,62	0,421878204	-0,8256455	1,8616974	0,53800124	0,33292156
6,64	0,37207313	-0,8043385	1,7711427	0,6285559	0,30895123
6,66	0,348635452	-0,54865474	1,6193305	0,81232864	0,29829773
6,68	0,345705745	-0,29829773	1,4302311	0,83097225	0,3009611
6,7	0,380862273	0,20241632	1,4462113	0,7750414	0,30895123
6,72	0,462894168	0,13316862	1,3929439	0,65518963	0,3116146
6,74	0,43652675	-0,07990117	0,80167514	0,636546	0,31694132
6,76	0,37500287	-0,23171341	0,3382483	0,6685065	0,3196047
6,78	0,202149981	-0,05060408	-0,5912687	0,7191106	0,33292156
6,8	0,123047811	0,013316862	-0,9961013	0,7777048	0,38086227
6,82	0,011718839	0,09588141	-1,6619445	0,8602693	0,42081288
6,84	-0,00292971	0,13849537	-2,159995	0,85494256	0,52734774
6,86	0,00292971	0,15713897	-2,3464313	0,7377542	0,6605164
6,88	0,026367387	0,1464855	-2,6394022	0,3888524	0,73509085
6,9	-0,01757826	0,14914887	-2,767244	0,15181224	0,89489317
6,92	-0,067383324	0,19975294	-3,030918	-0,31694132	0,98278445
6,94	-0,169923171	0,23171341	-3,3079088	-0,5087042	1,1559037
6,96	-0,199220274	0,25568378	-3,4091167	-0,82031876	1,3236961
6,98	-0,193360849	0,22372329	-3,4384139	-1,2784188	1,4142509
7	-0,143555775	0,2130698	-3,3585129	-1,5474194	1,6140038
7,02	-0,099610137	0,21573317	-3,0415714	-2,02949	1,7391822
7,04	0,00585942	0,21040644	-2,343768	-2,3597481	1,7684793
7,06	0,055664488	0,17578259	-1,8324003	-2,4822633	1,787123
7,08	0,128907233	0,087891296	-0,54865474	-2,6260853	1,7471724
7,1	0,172852867	0,029297099	0,037287217	-2,644729	1,4462113
7,12	0,18164201	-0,023970352	0,2823175	-2,6180952	0,79901177
7,14	0,184571717	-0,007990118	0,5140309	-2,4822633	0,40216926
7,16	0,190431142	0,05060408	0,76172453	-2,351758	-0,5326745
7,18	0,208009395	0,07723781	0,76172453	-1,9682323	-1,0200717
7,2	0,231447084	0,093218036	0,66317976	-1,7471724	-1,765816
7,22	0,251955044	0,15181224	0,5752885	-1,2757554	-2,1759753
7,24	0,269533297	0,17045584	0,55930823	-0,7457443	-2,322461
7,26	0,26660359	0,18110934	0,60724896	-0,46076345	-2,623422
7,28	0,26660359	0,21040644	0,5406646	-0,01065349	-2,788551
7,3	0,260744176	0,23171341	0,4554367	0,10120816	-3,1161458
7,32	0,249025337	0,25834712	0,30628785	0,17578259	-3,3585129
7,34	0,219728234	0,25035703	0,22638667	0,40216926	-3,3904734
7,36	0,210939102	0,23704016	0,24769364	0,5912687	-3,1800668
7,38	0,205079677	0,26633725	0,31694132	0,7777048	-2,908403
7,4	0,190431142	0,2823175	0,3302582	0,82298213	-2,0987375
7,42	0,196290567	0,2823175	0,27965412	0,8256455	-1,2890723
7,44	0,251955044	0,26367387	0,21573317	0,6898135	-1,0307251
7,46	0,301760107	0,23437679	0,21839654	0,60724896	-0,7191106
7,48	0,398440548	0,2130698	0,26900062	0,43945646	-0,47940707
7,5	0,492191238	0,19975294	0,3009611	0,3968425	0,5806152
7,52	0,550785466	0,20241632	0,37020877	0,3489018	1,0706757
7,54	0,667973856	0,22372329	0,4367931	0,386189	1,0467054
7,56	0,773443396	0,25834712	0,47408032	0,41015938	1,107963
7,58	0,808599935	0,25834712	0,5140309	0,407496	0,97213095
7,6	0,81738899	0,27432737	0,5140309	0,3196047	0,8336356
7,62	0,788091953	0,36488205	0,4767437	0,26367387	0,6045856
7,64	0,697270904	0,40483263	0,37287214	0,20241632	0,543328
7,66	0,60937965	0,4554367	0,29829773	0,21839654	0,41015938
7,68	0,577152807	0,4927239	0,22905004	0,3116146	0,26633725
7,7	0,495120956	0,5087042	0,24769364	0,3968425	0,22905004
7,72	0,439456468	0,543328	0,3009611	0,4181495	0,22638667
7,74	0,31054925	0,6711699	0,35689193	0,42880297	0,25568378
7,76	0,1494152	0,79102165	0,39151576	0,42081288	0,33558494
7,78	0,041015939	1,0760025	0,48207045	0,3888524	0,39151576
7,8	-0,228517366	1,1825374	0,6471995	0,4181495	0,40216926
7,82	-0,380862273	1,2997258	0,7563978	0,47141695	0,39417914
7,84	-0,667973856	1,5633997	0,9668042	0,63121927	0,386189
7,86	-0,963874505	1,7205386	1,0387152	0,7297641	0,37287214
7,88	-1,12207887	1,8270736	1,0307251	0,9801211	0,38086227
7,9	-1,45020634	1,8590341	0,85760593	1,3902805	0,39151576
7,92	-1,62891861	2,173312	0,78036815	1,6752614	0,44211984
7,94	-1,97169467	2,4529662	0,7111205	2,1333613	0,47141695
